s_m,kappa_1pm
8.883585453006996602e+01,-3.262024536306957351e-02
8.960834022163579959e+01,-3.014995329351782133e-02
9.038082591320161896e+01,-2.783133203076404091e-02
9.115331160476743833e+01,-2.565247816979331075e-02
9.192579729633327190e+01,-2.359984046652170361e-02
9.269828298789909127e+01,-2.172041123229087253e-02
9.347076867946492484e+01,-2.085074150192712736e-02
9.424325437103074421e+01,-2.028400093188765033e-02
9.501574006259657779e+01,-1.970118599106993745e-02
9.578822575416239715e+01,-1.910493530400410311e-02
9.656071144572823073e+01,-1.849775081319487632e-02
9.733319713729405009e+01,-1.788197807135761402e-02
9.810568282885988367e+01,-1.725979177309197587e-02
9.887816852042570304e+01,-1.663318613301540197e-02
9.965065421199152240e+01,-1.600396962409178156e-02
1.004231399035573560e+02,-1.537376353360356100e-02
1.011956255951231753e+02,-1.474400377004219179e-02
1.019681112866890089e+02,-1.411594535652322367e-02
1.027405969782548283e+02,-1.349066906937481519e-02
1.035130826698206619e+02,-1.286908971874498216e-02
1.042855683613864812e+02,-1.225196561639228278e-02
1.050580540529523148e+02,-1.163990882992835783e-02
1.058305397445181342e+02,-1.103339587910823726e-02
1.066030254360839677e+02,-1.043277858552666380e-02
1.073755111276497871e+02,-9.838294840219729762e-03
1.081479968192156065e+02,-9.250079102774432654e-03
1.089204825107814401e+02,-8.668172489751083468e-03
1.096929682023472594e+02,-8.092532349098915945e-03
1.104654538939130930e+02,-7.523041250715790419e-03
1.112379395854789124e+02,-6.959515351541423894e-03
1.120104252770447459e+02,-6.401712116926535669e-03
1.127829109686105653e+02,-5.849337398948347040e-03
1.135553966601763989e+02,-5.302051887360203011e-03
1.143278823517422182e+02,-4.759476960507438674e-03
1.151003680433080518e+02,-4.221199972339978630e-03
1.158728537348738712e+02,-3.686779018103553216e-03
1.166453394264396906e+02,-3.155747225853240603e-03
1.174178251180055241e+02,-2.627616624016720394e-03
1.181903108095713435e+02,-2.101881637198871246e-03
1.189627965011371771e+02,-1.578033818767290248e-03
1.197352821927029964e+02,-1.055522102066826923e-03
1.205077678842688300e+02,-5.338020681074722405e-04
1.212802535758346494e+02,-1.232693237346953164e-05
1.220527392674004830e+02,5.094536574339928684e-04
1.228252249589663023e+02,1.032091220407891545e-03
1.235977106505321217e+02,1.556136034204433837e-03
1.243701963420979553e+02,2.082134664301626536e-03
1.251426820336637746e+02,2.610627374947679588e-03
1.259151677252296082e+02,3.142145365318456309e-03
